seed_id,question,expected_answer,candidate_answer,keywords,question_type,quality_label,quality_score
119,What is classification in machine learning?,Classification is a supervised learning task that predicts a categorical class or label for an input based on learned patterns from labeled training data.,Classification is used to predict classes or categories.,"['classification', 'supervised', 'categorical', 'label', 'training data']",Machine Learning,Average,50
120,What is classification in machine learning?,Classification is a supervised learning task that predicts a categorical class or label for an input based on learned patterns from labeled training data.,Classification predicts a category.,"['classification', 'supervised', 'categorical', 'label', 'training data']",Machine Learning,Poor,25
121,What is regression in machine learning?,Regression is a supervised learning task that predicts a continuous numerical value based on relationships learned from training data.,Regression is a supervised learning task that predicts a continuous numerical value based on relationships learned from training data.,"['regression', 'supervised', 'continuous', 'numerical', 'prediction']",Machine Learning,Excellent,100
122,What is regression in machine learning?,Regression is a supervised learning task that predicts a continuous numerical value based on relationships learned from training data.,Regression is a supervised learning technique used to predict continuous numerical values from training data.,"['regression', 'supervised', 'continuous', 'numerical', 'prediction']",Machine Learning,Good,75
123,What is regression in machine learning?,Regression is a supervised learning task that predicts a continuous numerical value based on relationships learned from training data.,Regression is used to predict numerical values.,"['regression', 'supervised', 'continuous', 'numerical', 'prediction']",Machine Learning,Average,50
124,What is regression in machine learning?,Regression is a supervised learning task that predicts a continuous numerical value based on relationships learned from training data.,Regression predicts numbers.,"['regression', 'supervised', 'continuous', 'numerical', 'prediction']",Machine Learning,Poor,25
125,What is accuracy in machine learning?,Accuracy is an evaluation metric that measures the proportion of correct predictions among all predictions made by a classification model.,Accuracy is an evaluation metric that measures the proportion of correct predictions among all predictions made by a classification model.,"['accuracy', 'evaluation', 'correct', 'predictions', 'classification']",Machine Learning,Excellent,100
126,What is accuracy in machine learning?,Accuracy is an evaluation metric that measures the proportion of correct predictions among all predictions made by a classification model.,Accuracy measures the proportion of predictions that a classification model gets correct.,"['accuracy', 'evaluation', 'correct', 'predictions', 'classification']",Machine Learning,Good,75
127,What is accuracy in machine learning?,Accuracy is an evaluation metric that measures the proportion of correct predictions among all predictions made by a classification model.,Accuracy tells us how many predictions are correct.,"['accuracy', 'evaluation', 'correct', 'predictions', 'classification']",Machine Learning,Average,50
128,What is accuracy in machine learning?,Accuracy is an evaluation metric that measures the proportion of correct predictions among all predictions made by a classification model.,Accuracy measures correctness.,"['accuracy', 'evaluation', 'correct', 'predictions', 'classification']",Machine Learning,Poor,25
129,What is a foreign key in SQL?,A foreign key is a column or set of columns in one table that references the primary key of another table to establish a relationship between the tables.,A foreign key is a column or set of columns in one table that references the primary key of another table to establish a relationship between the tables.,"['foreign key', 'primary key', 'table', 'relationship', 'references']",SQL,Excellent,100
130,What is a foreign key in SQL?,A foreign key is a column or set of columns in one table that references the primary key of another table to establish a relationship between the tables.,A foreign key is used to connect tables by referencing a primary key in another table.,"['foreign key', 'primary key', 'table', 'relationship', 'references']",SQL,Good,75
131,What is a foreign key in SQL?,A foreign key is a column or set of columns in one table that references the primary key of another table to establish a relationship between the tables.,A foreign key creates a relationship between tables.,"['foreign key', 'primary key', 'table', 'relationship', 'references']",SQL,Average,50
132,What is a foreign key in SQL?,A foreign key is a column or set of columns in one table that references the primary key of another table to establish a relationship between the tables.,A foreign key connects tables.,"['foreign key', 'primary key', 'table', 'relationship', 'references']",SQL,Poor,25
133,What is abstraction in OOP?,Abstraction is an OOP concept that hides unnecessary implementation details and exposes only the essential features or behavior of an object.,Abstraction is an OOP concept that hides unnecessary implementation details and exposes only the essential features or behavior of an object.,"['abstraction', 'OOP', 'implementation', 'details', 'essential']",OOP,Excellent,100
134,What is abstraction in OOP?,Abstraction is an OOP concept that hides unnecessary implementation details and exposes only the essential features or behavior of an object.,Abstraction hides implementation details and exposes only the essential features of an object.,"['abstraction', 'OOP', 'implementation', 'details', 'essential']",OOP,Good,75
135,What is abstraction in OOP?,Abstraction is an OOP concept that hides unnecessary implementation details and exposes only the essential features or behavior of an object.,Abstraction means hiding unnecessary details and showing important features.,"['abstraction', 'OOP', 'implementation', 'details', 'essential']",OOP,Average,50
136,What is abstraction in OOP?,Abstraction is an OOP concept that hides unnecessary implementation details and exposes only the essential features or behavior of an object.,Abstraction hides details.,"['abstraction', 'OOP', 'implementation', 'details', 'essential']",OOP,Poor,25
137,What is the difference between Series and DataFrame in Pandas?,"A Series is a one-dimensional labeled data structure in Pandas, while a DataFrame is a two-dimensional structure consisting of rows and columns.","A Series is a one-dimensional labeled data structure in Pandas, while a DataFrame is a two-dimensional structure consisting of rows and columns.","['Series', 'DataFrame', 'one-dimensional', 'two-dimensional', 'rows', 'columns']",Data Science,Excellent,100
138,What is the difference between Series and DataFrame in Pandas?,"A Series is a one-dimensional labeled data structure in Pandas, while a DataFrame is a two-dimensional structure consisting of rows and columns.","A Series is one-dimensional, while a DataFrame is two-dimensional with rows and columns.","['Series', 'DataFrame', 'one-dimensional', 'two-dimensional', 'rows', 'columns']",Data Science,Good,75
139,What is the difference between Series and DataFrame in Pandas?,"A Series is a one-dimensional labeled data structure in Pandas, while a DataFrame is a two-dimensional structure consisting of rows and columns.",A Series stores data in one dimension and a DataFrame stores data in rows and columns.,"['Series', 'DataFrame', 'one-dimensional', 'two-dimensional', 'rows', 'columns']",Data Science,Average,50
140,What is the difference between Series and DataFrame in Pandas?,"A Series is a one-dimensional labeled data structure in Pandas, while a DataFrame is a two-dimensional structure consisting of rows and columns.",They are different Pandas data structures.,"['Series', 'DataFrame', 'one-dimensional', 'two-dimensional', 'rows', 'columns']",Data Science,Poor,25
141,What is standard deviation?,Standard deviation is a statistical measure that describes how much the values in a dataset vary or deviate from the mean.,Standard deviation is a statistical measure that describes how much the values in a dataset vary or deviate from the mean.,"['standard deviation', 'statistical', 'variation', 'deviation', 'mean']",Statistics,Excellent,100
142,What is standard deviation?,Standard deviation is a statistical measure that describes how much the values in a dataset vary or deviate from the mean.,Standard deviation measures how much values in a dataset vary from the mean.,"['standard deviation', 'statistical', 'variation', 'deviation', 'mean']",Statistics,Good,75
143,What is standard deviation?,Standard deviation is a statistical measure that describes how much the values in a dataset vary or deviate from the mean.,It measures the spread or variation of data.,"['standard deviation', 'statistical', 'variation', 'deviation', 'mean']",Statistics,Average,50
144,What is standard deviation?,Standard deviation is a statistical measure that describes how much the values in a dataset vary or deviate from the mean.,It is a statistical measure.,"['standard deviation', 'statistical', 'variation', 'deviation', 'mean']",Statistics,Poor,25
145,What is a confusion matrix?,"A confusion matrix is a table used to evaluate a classification model by showing true positives, true negatives, false positives, and false negatives.","A confusion matrix is a table used to evaluate a classification model by showing true positives, true negatives, false positives, and false negatives.","['confusion matrix', 'classification', 'true positive', 'true negative', 'false positive', 'false negative']",Machine Learning,Excellent,100
146,What is a confusion matrix?,"A confusion matrix is a table used to evaluate a classification model by showing true positives, true negatives, false positives, and false negatives.","A confusion matrix evaluates classification predictions using true positives, true negatives, false positives, and false negatives.","['confusion matrix', 'classification', 'true positive', 'true negative', 'false positive', 'false negative']",Machine Learning,Good,75
147,What is a confusion matrix?,"A confusion matrix is a table used to evaluate a classification model by showing true positives, true negatives, false positives, and false negatives.",A confusion matrix is used to evaluate a classification model.,"['confusion matrix', 'classification', 'true positive', 'true negative', 'false positive', 'false negative']",Machine Learning,Average,50
148,What is a confusion matrix?,"A confusion matrix is a table used to evaluate a classification model by showing true positives, true negatives, false positives, and false negatives.",It is a machine learning table.,"['confusion matrix', 'classification', 'true positive', 'true negative', 'false positive', 'false negative']",Machine Learning,Poor,25
149,What is a SQL query?,"A SQL query is a command written using Structured Query Language to retrieve, insert, update, or delete data in a relational database.","A SQL query is a command written using Structured Query Language to retrieve, insert, update, or delete data in a relational database.","['SQL', 'query', 'retrieve', 'insert', 'update', 'delete']",SQL,Excellent,100
150,What is a SQL query?,"A SQL query is a command written using Structured Query Language to retrieve, insert, update, or delete data in a relational database.",A SQL query is used to retrieve or modify data in a relational database.,"['SQL', 'query', 'retrieve', 'insert', 'update', 'delete']",SQL,Good,75
151,What is a SQL query?,"A SQL query is a command written using Structured Query Language to retrieve, insert, update, or delete data in a relational database.",A query is used to work with data in a database.,"['SQL', 'query', 'retrieve', 'insert', 'update', 'delete']",SQL,Average,50
152,What is a SQL query?,"A SQL query is a command written using Structured Query Language to retrieve, insert, update, or delete data in a relational database.",A SQL query is a database command.,"['SQL', 'query', 'retrieve', 'insert', 'update', 'delete']",SQL,Poor,25
153,What is time complexity?,Time complexity describes how the running time of an algorithm grows as the size of its input increases.,Time complexity describes how the running time of an algorithm grows as the size of its input increases.,"['time complexity', 'algorithm', 'running time', 'input', 'growth']",Algorithms,Excellent,100
154,What is time complexity?,Time complexity describes how the running time of an algorithm grows as the size of its input increases.,Time complexity describes how an algorithm's running time changes as the input size increases.,"['time complexity', 'algorithm', 'running time', 'input', 'growth']",Algorithms,Good,75
155,What is time complexity?,Time complexity describes how the running time of an algorithm grows as the size of its input increases.,Time complexity measures the running time of an algorithm based on its input size.,"['time complexity', 'algorithm', 'running time', 'input', 'growth']",Algorithms,Average,50
156,What is time complexity?,Time complexity describes how the running time of an algorithm grows as the size of its input increases.,It measures algorithm speed.,"['time complexity', 'algorithm', 'running time', 'input', 'growth']",Algorithms,Poor,25
157,What is precision in machine learning?,Precision is a classification metric that measures the proportion of predicted positive cases that are actually positive.,Precision is a classification metric that measures the proportion of predicted positive cases that are actually positive.,"['precision', 'classification', 'predicted positive', 'actual positive', 'metric']",Machine Learning,Excellent,100
158,What is precision in machine learning?,Precision is a classification metric that measures the proportion of predicted positive cases that are actually positive.,Precision measures how many of the cases predicted as positive are actually positive.,"['precision', 'classification', 'predicted positive', 'actual positive', 'metric']",Machine Learning,Good,75
159,What is precision in machine learning?,Precision is a classification metric that measures the proportion of predicted positive cases that are actually positive.,Precision measures the correctness of positive predictions.,"['precision', 'classification', 'predicted positive', 'actual positive', 'metric']",Machine Learning,Average,50
160,What is precision in machine learning?,Precision is a classification metric that measures the proportion of predicted positive cases that are actually positive.,Precision measures positive predictions.,"['precision', 'classification', 'predicted positive', 'actual positive', 'metric']",Machine Learning,Poor,25
161,What is recall in machine learning?,Recall is a classification metric that measures the proportion of actual positive cases that are correctly identified by the model.,Recall is a classification metric that measures the proportion of actual positive cases that are correctly identified by the model.,"['recall', 'classification', 'actual positive', 'correctly identified', 'metric']",Machine Learning,Excellent,100
162,What is recall in machine learning?,Recall is a classification metric that measures the proportion of actual positive cases that are correctly identified by the model.,Recall measures how many of the actual positive cases are correctly identified by the model.,"['recall', 'classification', 'actual positive', 'correctly identified', 'metric']",Machine Learning,Good,75
163,What is recall in machine learning?,Recall is a classification metric that measures the proportion of actual positive cases that are correctly identified by the model.,Recall measures how well a model identifies positive cases.,"['recall', 'classification', 'actual positive', 'correctly identified', 'metric']",Machine Learning,Average,50
164,What is recall in machine learning?,Recall is a classification metric that measures the proportion of actual positive cases that are correctly identified by the model.,Recall identifies positive cases.,"['recall', 'classification', 'actual positive', 'correctly identified', 'metric']",Machine Learning,Poor,25
165,What is a histogram?,A histogram is a graphical representation that shows the distribution of numerical data by grouping values into intervals called bins.,A histogram is a graphical representation that shows the distribution of numerical data by grouping values into intervals called bins.,"['histogram', 'distribution', 'numerical', 'bins', 'data']",Statistics,Excellent,100
166,What is a histogram?,A histogram is a graphical representation that shows the distribution of numerical data by grouping values into intervals called bins.,A histogram shows the distribution of numerical data by grouping values into different intervals or bins.,"['histogram', 'distribution', 'numerical', 'bins', 'data']",Statistics,Good,75
167,What is a histogram?,A histogram is a graphical representation that shows the distribution of numerical data by grouping values into intervals called bins.,A histogram is a graph used to show the distribution of data.,"['histogram', 'distribution', 'numerical', 'bins', 'data']",Statistics,Average,50
168,What is a histogram?,A histogram is a graphical representation that shows the distribution of numerical data by grouping values into intervals called bins.,A histogram is a type of graph.,"['histogram', 'distribution', 'numerical', 'bins', 'data']",Statistics,Poor,25
169,What is an INNER JOIN in SQL?,An INNER JOIN returns only the rows that have matching values in both tables based on the specified join condition.,An INNER JOIN returns only the rows that have matching values in both tables based on the specified join condition.,"['INNER JOIN', 'matching', 'rows', 'tables', 'condition']",SQL,Excellent,100
170,What is an INNER JOIN in SQL?,An INNER JOIN returns only the rows that have matching values in both tables based on the specified join condition.,An INNER JOIN returns matching rows from two tables based on a specified condition.,"['INNER JOIN', 'matching', 'rows', 'tables', 'condition']",SQL,Good,75
171,What is an INNER JOIN in SQL?,An INNER JOIN returns only the rows that have matching values in both tables based on the specified join condition.,An INNER JOIN combines matching data from two tables.,"['INNER JOIN', 'matching', 'rows', 'tables', 'condition']",SQL,Average,50
172,What is an INNER JOIN in SQL?,An INNER JOIN returns only the rows that have matching values in both tables based on the specified join condition.,It joins two tables.,"['INNER JOIN', 'matching', 'rows', 'tables', 'condition']",SQL,Poor,25
173,What is a machine learning model?,A machine learning model is a mathematical or computational representation learned from data that can make predictions or decisions on new inputs.,A machine learning model is a mathematical or computational representation learned from data that can make predictions or decisions on new inputs.,"['machine learning', 'model', 'data', 'predictions', 'inputs']",Machine Learning,Excellent,100
174,What is a machine learning model?,A machine learning model is a mathematical or computational representation learned from data that can make predictions or decisions on new inputs.,A machine learning model learns patterns from data and uses them to make predictions on new inputs.,"['machine learning', 'model', 'data', 'predictions', 'inputs']",Machine Learning,Good,75
175,What is a machine learning model?,A machine learning model is a mathematical or computational representation learned from data that can make predictions or decisions on new inputs.,A machine learning model learns from data to make predictions.,"['machine learning', 'model', 'data', 'predictions', 'inputs']",Machine Learning,Average,50
176,What is a machine learning model?,A machine learning model is a mathematical or computational representation learned from data that can make predictions or decisions on new inputs.,It is a model that learns from data.,"['machine learning', 'model', 'data', 'predictions', 'inputs']",Machine Learning,Poor,25
177,What is cross-validation?,Cross-validation is a model evaluation technique that divides data into multiple subsets and repeatedly trains and evaluates the model on different training and validation portions.,Cross-validation is a model evaluation technique that divides data into multiple subsets and repeatedly trains and evaluates the model on different training and validation portions.,"['cross-validation', 'evaluation', 'training', 'validation', 'subsets']",Machine Learning,Excellent,100
178,What is cross-validation?,Cross-validation is a model evaluation technique that divides data into multiple subsets and repeatedly trains and evaluates the model on different training and validation portions.,Cross-validation evaluates a model by dividing data into several subsets and using different subsets for training and validation.,"['cross-validation', 'evaluation', 'training', 'validation', 'subsets']",Machine Learning,Good,75
179,What is cross-validation?,Cross-validation is a model evaluation technique that divides data into multiple subsets and repeatedly trains and evaluates the model on different training and validation portions.,Cross-validation is used to evaluate machine learning models using different portions of data.,"['cross-validation', 'evaluation', 'training', 'validation', 'subsets']",Machine Learning,Average,50
180,What is cross-validation?,Cross-validation is a model evaluation technique that divides data into multiple subsets and repeatedly trains and evaluates the model on different training and validation portions.,It is a model evaluation technique.,"['cross-validation', 'evaluation', 'training', 'validation', 'subsets']",Machine Learning,Poor,25
181,What is an outlier?,An outlier is a data point that is unusually different from the other observations in a dataset and may affect statistical analysis or machine learning models.,An outlier is a data point that is unusually different from the other observations in a dataset and may affect statistical analysis or machine learning models.,"['outlier', 'data point', 'observations', 'dataset', 'statistical']",Statistics,Excellent,100
182,What is an outlier?,An outlier is a data point that is unusually different from the other observations in a dataset and may affect statistical analysis or machine learning models.,An outlier is an observation that is significantly different from most other values in a dataset.,"['outlier', 'data point', 'observations', 'dataset', 'statistical']",Statistics,Good,75
183,What is an outlier?,An outlier is a data point that is unusually different from the other observations in a dataset and may affect statistical analysis or machine learning models.,An outlier is an unusual value in a dataset.,"['outlier', 'data point', 'observations', 'dataset', 'statistical']",Statistics,Average,50
184,What is an outlier?,An outlier is a data point that is unusually different from the other observations in a dataset and may affect statistical analysis or machine learning models.,It is an unusual data value.,"['outlier', 'data point', 'observations', 'dataset', 'statistical']",Statistics,Poor,25
185,What is a SQL GROUP BY clause?,"The SQL GROUP BY clause groups rows that have the same values in specified columns and is commonly used with aggregate functions such as COUNT, SUM, and AVG.","The SQL GROUP BY clause groups rows that have the same values in specified columns and is commonly used with aggregate functions such as COUNT, SUM, and AVG.","['GROUP BY', 'SQL', 'groups', 'aggregate', 'COUNT', 'SUM', 'AVG']",SQL,Excellent,100
186,What is a SQL GROUP BY clause?,"The SQL GROUP BY clause groups rows that have the same values in specified columns and is commonly used with aggregate functions such as COUNT, SUM, and AVG.",GROUP BY groups rows with the same values and is often used with aggregate functions such as COUNT and SUM.,"['GROUP BY', 'SQL', 'groups', 'aggregate', 'COUNT', 'SUM', 'AVG']",SQL,Good,75
187,What is a SQL GROUP BY clause?,"The SQL GROUP BY clause groups rows that have the same values in specified columns and is commonly used with aggregate functions such as COUNT, SUM, and AVG.",GROUP BY is used to group similar rows in a SQL query.,"['GROUP BY', 'SQL', 'groups', 'aggregate', 'COUNT', 'SUM', 'AVG']",SQL,Average,50
188,What is a SQL GROUP BY clause?,"The SQL GROUP BY clause groups rows that have the same values in specified columns and is commonly used with aggregate functions such as COUNT, SUM, and AVG.",It groups data in SQL.,"['GROUP BY', 'SQL', 'groups', 'aggregate', 'COUNT', 'SUM', 'AVG']",SQL,Poor,25
189,What is method overriding in OOP?,Method overriding occurs when a child class provides its own implementation of a method that is already defined in its parent class.,Method overriding occurs when a child class provides its own implementation of a method that is already defined in its parent class.,"['method overriding', 'child class', 'parent class', 'implementation', 'method']",OOP,Excellent,100
190,What is method overriding in OOP?,Method overriding occurs when a child class provides its own implementation of a method that is already defined in its parent class.,Method overriding allows a child class to provide a different implementation of a method inherited from its parent class.,"['method overriding', 'child class', 'parent class', 'implementation', 'method']",OOP,Good,75
191,What is method overriding in OOP?,Method overriding occurs when a child class provides its own implementation of a method that is already defined in its parent class.,Method overriding means redefining a parent class method in a child class.,"['method overriding', 'child class', 'parent class', 'implementation', 'method']",OOP,Average,50
192,What is method overriding in OOP?,Method overriding occurs when a child class provides its own implementation of a method that is already defined in its parent class.,It changes a method in a child class.,"['method overriding', 'child class', 'parent class', 'implementation', 'method']",OOP,Poor,25
193,What is the difference between supervised and unsupervised learning?,"Supervised learning uses labeled data to learn a mapping between inputs and outputs, while unsupervised learning works with unlabeled data to discover patterns or structures.","Supervised learning uses labeled data to learn a mapping between inputs and outputs, while unsupervised learning works with unlabeled data to discover patterns or structures.","['supervised', 'unsupervised', 'labeled', 'unlabeled', 'patterns']",Machine Learning,Excellent,100
194,What is the difference between supervised and unsupervised learning?,"Supervised learning uses labeled data to learn a mapping between inputs and outputs, while unsupervised learning works with unlabeled data to discover patterns or structures.","Supervised learning uses labeled data, while unsupervised learning uses unlabeled data to find patterns.","['supervised', 'unsupervised', 'labeled', 'unlabeled', 'patterns']",Machine Learning,Good,75
195,What is the difference between supervised and unsupervised learning?,"Supervised learning uses labeled data to learn a mapping between inputs and outputs, while unsupervised learning works with unlabeled data to discover patterns or structures.","Supervised learning learns from labeled data, while unsupervised learning finds patterns in data without labels.","['supervised', 'unsupervised', 'labeled', 'unlabeled', 'patterns']",Machine Learning,Average,50
196,What is the difference between supervised and unsupervised learning?,"Supervised learning uses labeled data to learn a mapping between inputs and outputs, while unsupervised learning works with unlabeled data to discover patterns or structures.",Supervised has labels and unsupervised does not.,"['supervised', 'unsupervised', 'labeled', 'unlabeled', 'patterns']",Machine Learning,Poor,25
197,What is cosine similarity?,Cosine similarity measures the similarity between two vectors by calculating the cosine of the angle between them. It is commonly used to compare text embeddings.,Cosine similarity measures the similarity between two vectors by calculating the cosine of the angle between them. It is commonly used to compare text embeddings.,"['cosine similarity', 'vectors', 'similarity', 'angle', 'embeddings']",NLP,Excellent,100
198,What is cosine similarity?,Cosine similarity measures the similarity between two vectors by calculating the cosine of the angle between them. It is commonly used to compare text embeddings.,Cosine similarity measures how similar two vectors are based on the angle between them and is commonly used with text embeddings.,"['cosine similarity', 'vectors', 'similarity', 'angle', 'embeddings']",NLP,Good,75
199,What is cosine similarity?,Cosine similarity measures the similarity between two vectors by calculating the cosine of the angle between them. It is commonly used to compare text embeddings.,Cosine similarity is used to measure similarity between vectors.,"['cosine similarity', 'vectors', 'similarity', 'angle', 'embeddings']",NLP,Average,50
200,What is cosine similarity?,Cosine similarity measures the similarity between two vectors by calculating the cosine of the angle between them. It is commonly used to compare text embeddings.,It measures similarity.,"['cosine similarity', 'vectors', 'similarity', 'angle', 'embeddings']",NLP,Poor,25
